Date,MONTH,Product,Category,Sales Representative,City,No. of Units,Price,Amount
08-10-2021,October,Apple AirPods Pro,Laptop,Tara,Delhi,16,1539,24624
25-06-2021,June,iPhone 11 Pro,Laptop,Giana,Delhi,31,1034,32054
23-08-2021,August,iPhone 11 Pro,Headphone,Bruce,Delhi,11,1863,20493
15-04-2021,April,Apple AirPods Pro,Headphone,Giana,Delhi,12,490,5880
30-07-2021,July,Dell XPS 13,Headphone,Aryan,Cochin,2,992,1984
07-04-2021,April,Apple AirPods Pro,Laptop,Aryan,Delhi,2,847,1694
13-12-2021,December,OnePlus Buds,Headphone,Krish,Bangalore,35,892,31220
27-09-2021,September,iPhone 11 Pro,Headphone,Aryan,Bangalore,39,1399,54561
06-12-2021,December,iPhone 11 Pro,Laptop,Giana,Delhi,37,1920,71040
01-10-2021,October,Dell XPS 13,Phone,Kate,Bangalore,48,1542,74016
17-04-2021,April,Dell XPS 13,Phone,Kate,Cochin,45,954,42930
11-02-2021,February,iPhone 11 Pro,Phone,Krish,Delhi,11,503,5533
24-11-2021,November,Dell XPS 13,Laptop,Aryan,Cochin,7,1059,7413
01-12-2021,December,iPhone 11 Pro,Phone,Bruce,Delhi,11,258,2838
22-09-2021,September,Apple AirPods Pro,Laptop,Kate,Cochin,50,1434,71700
22-12-2021,December,OnePlus Buds,Laptop,Tara,Delhi,28,150,4200
25-03-2021,March,Dell XPS 13,Laptop,Tara,Mumbai,13,1907,24791
29-06-2021,June,HP Envy x360,Headphone,Tara,Bangalore,46,509,23414
28-06-2021,June,Apple AirPods Pro,Phone,Aryan,Bangalore,38,800,30400
06-01-2021,January,Apple AirPods Pro,Phone,Asif,Cochin,38,707,26866
04-01-2021,January,Dell XPS 13,Phone,Aryan,Cochin,6,1503,9018
20-09-2021,September,iPhone 11 Pro,Laptop,Giana,Cochin,50,285,14250
28-08-2021,August,OnePlus Buds,Laptop,Giana,Bangalore,25,125,3125
21-05-2021,May,iPhone 11 Pro,Phone,Kate,Cochin,38,1386,52668
07-12-2021,December,HP Envy x360,Headphone,Bruce,Delhi,28,1674,46872
06-04-2021,April,OnePlus Buds,Laptop,Asif,Mumbai,37,679,25123
25-04-2021,April,iPhone 11 Pro,Phone,Bruce,Bangalore,47,200,9400
27-05-2021,May,Apple AirPods Pro,Laptop,Aryan,Mumbai,5,717,3585
09-06-2021,June,OnePlus Buds,Laptop,Bruce,Mumbai,31,1765,54715
02-01-2021,January,Dell XPS 13,Headphone,Bruce,Cochin,37,603,22311
22-11-2021,November,OnePlus Buds,Phone,Aryan,Delhi,26,1541,40066
20-01-2021,January,HP Envy x360,Phone,Bruce,Bangalore,15,1389,20835
13-09-2021,September,iPhone 11 Pro,Laptop,Asif,Mumbai,9,217,1953
23-05-2021,May,Dell XPS 13,Laptop,Giana,Cochin,43,126,5418
20-07-2021,July,Apple AirPods Pro,Laptop,Kate,Delhi,5,107,535
14-04-2021,April,Apple AirPods Pro,Headphone,Asif,Cochin,2,1099,2198
22-01-2021,January,HP Envy x360,Headphone,Giana,Cochin,33,1093,36069
15-09-2021,September,Dell XPS 13,Laptop,Kate,Delhi,48,1333,63984
04-06-2021,June,HP Envy x360,Phone,Aryan,Mumbai,46,359,16514
14-03-2021,March,HP Envy x360,Laptop,Aryan,Bangalore,49,665,32585
10-10-2021,October,iPhone 11 Pro,Laptop,Krish,Mumbai,5,1157,5785
17-12-2021,December,OnePlus Buds,Laptop,Krish,Bangalore,50,506,25300
21-07-2021,July,iPhone 11 Pro,Laptop,Krish,Cochin,18,1295,23310
25-04-2021,April,iPhone 11 Pro,Headphone,Aryan,Delhi,44,1178,51832
25-01-2021,January,HP Envy x360,Headphone,Aryan,Mumbai,31,1235,38285
04-08-2021,August,OnePlus Buds,Phone,Giana,Bangalore,14,118,1652
